Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
1980;19/09/1980;Bangladesh;Syria;0.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Syria;;Bangladesh
1980;19/09/1980;Qatar;South Korea;0.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;South Korea;;Qatar
1980;20/09/1980;China PR;Iran;2.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Draw;;Draw
1980;20/09/1980;United Arab Emirates;Malaysia;0.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Malaysia;;United Arab Emirates
1980;21/09/1980;Kuwait;South Korea;0.0;3.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;South Korea;;Kuwait
1980;22/09/1980;Bangladesh;Iran;0.0;7.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Iran;;Bangladesh
1980;23/09/1980;Malaysia;Qatar;1.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Draw;;Draw
1980;23/09/1980;Syria;China PR;1.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Syria;;China PR
1980;24/09/1980;Iran;North Korea;3.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Iran;;North Korea
1980;24/09/1980;South Korea;United Arab Emirates;4.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;South Korea;;United Arab Emirates
1980;25/09/1980;China PR;Bangladesh;6.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;China PR;;Bangladesh
1980;25/09/1980;Kuwait;Qatar;4.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;Kuwait;;Qatar
1980;26/09/1980;Syria;North Korea;1.0;2.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;North Korea;;Syria
1980;28/09/1980;South Korea;North Korea;2.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;South Korea;;North Korea
1980;28/09/1980;Kuwait;Iran;2.0;1.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;Kuwait;;Iran
1980;29/09/1980;Iran;North Korea;3.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;TRUE;Iran;;North Korea
1980;30/09/1980;Kuwait;South Korea;3.0;0.0;FALSE;AFC Asian Cup;Kuwait City;Kuwait;FALSE;Kuwait;;South Korea
1984;01/12/1984;Iran;United Arab Emirates;3.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Iran;;United Arab Emirates
1984;01/12/1984;Qatar;Syria;1.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Draw;;Draw
1984;02/12/1984;Saudi Arabia;South Korea;1.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Draw;;Draw
